rowID.x,treatment,wordCount,cluster,enviroCharity,age,female,region,edu_n,inc,poli_n,voteD,voteR,PEBs,time,intent,warmGlow,ccIndex,enviroID,id_enviro,cc_Seriousness,cc_harmTime,cc_personalHarm,cc_cause,wg_good,wg_positive,cc_humancause,cc_denial,control,extrinsic,intrinsic,after
52,1,208,Most Engaged,1,28,1,West,3,62.5,2,1,0,0.10664354827678744,2,-0.44443471348405666,-3.0871834357813146,-2.530876930835465,-0.3564786082659462,6,2,3,2,2,3,4,0,0,0,1,0,1
53,0,56,Doubtful and Dismissive,0,25,0,Northeast,6,175,2,1,0,0.08922758890219636,1,0.12479777836991966,-0.48701713656829093,-4.379366784618664,-0.8907040017622108,7,3,1,1,1,6,5,0,1,1,0,0,0
53,0,56,Doubtful and Dismissive,0,25,0,Northeast,6,175,2,1,0,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1
54,1,83,Most Engaged,0,31,1,South,5,87.5,2,1,0,0.07221914556051567,1,0.21394881925285536,0.21784312256050406,0.768022291970037,0.26861928808923535,7,3,4,3,3,6,6,1,0,0,1,0,0
54,1,83,Most Engaged,0,31,1,South,5,87.5,2,1,0,0.20675464325368645,2,0.2607875399703173,0.31171241794978877,1.678494037530037,0.3446530252330823,7,3,4,4,3,6,6,1,0,0,1,0,1
55,1,85,Doubtful and Dismissive,1,22,0,South,3,87.5,1,1,0,-0.632611680256284,1,-0.5702743255142119,1.6492795615012592,-2.3374466909779623,-0.22571489508351736,5,3,2,2,3,7,7,1,0,0,1,0,0
55,1,85,Doubtful and Dismissive,1,22,0,South,3,87.5,1,1,0,-0.7089307298726456,2,-0.6281289281694628,-2.4039459200946958,0.7017444683813342,-0.39414877940067855,5,4,3,3,3,4,4,1,0,0,1,0,1
56,2,1,Doubtful and Dismissive,1,32,0,South,5,87.5,1,1,0,-0.6691079078722341,1,-0.8443431333170566,-2.6450297553210063,-3.3158178953113664,0.046776341146501275,3,3,2,1,3,4,4,1,0,0,0,1,0
56,2,1,Doubtful and Dismissive,1,32,0,South,5,87.5,1,1,0,-0.5089033513237948,2,-0.49392528448325473,-1.0461167510724536,-2.470768653473333,0.011491050292267407,3,3,2,2,3,5,5,1,0,0,0,1,1
57,2,38,Most Engaged,0,38,0,Midwest,5,87.5,2,1,0,0.6643862434961199,1,0.3756927571509498,0.9444193023724641,0.8411075507476757,-0.18777322416468187,7,4,3,3,2,7,6,0,0,0,0,1,0
57,2,38,Most Engaged,0,38,0,Midwest,5,87.5,2,1,0,0.42291332175053326,2,0.3760619150086021,0.9949499336364073,0.7017444683813342,0.03166039710564107,7,4,3,3,3,7,6,1,0,0,0,1,1
58,1,145,Most Concerned,1,34,1,Northeast,5,32.5,2,1,0,0.20829728527425315,1,0.2706680248638497,-0.508733057251456,0.7559298657737825,0.5668150802476168,7,4,2,4,3,5,6,1,0,0,1,0,0
58,1,145,Most Concerned,1,34,1,Northeast,5,32.5,2,1,0,0.7355637882705425,2,0.612994683499497,1.6695415869720311,-0.3360290306095159,0.4911634817861358,7,4,2,3,3,7,7,1,0,0,1,0,1
59,2,138,Doubtful and Dismissive,0,33,0,Midwest,2,12.5,NA,NA,NA,-0.10215767388201699,1,-0.3510229593807574,-2.6450297553210063,-5.589086191481239,-1.7723527907730061,3,1,2,1,0,4,4,0,0,0,0,1,0
59,2,138,Doubtful and Dismissive,0,33,0,Midwest,2,12.5,NA,NA,NA,-0.264410276199638,2,-0.23752972602808478,-2.4039459200946958,-4.622821770235742,-1.1562491152693894,4,1,0,1,0,4,4,0,0,0,0,1,1
60,2,45,Most Concerned,1,31,0,South,2,32.5,2,1,0,-0.019337463613653266,1,0.18169137562375923,1.6492795615012592,2.8830276443883776,0.07189428994139585,5,4,4,4,3,7,7,1,0,0,0,1,0
60,2,45,Most Concerned,1,31,0,South,2,32.5,2,1,0,-0.26975613861072045,2,0.04034608021624621,1.6695415869720311,2.776375813883019,0.21278244195830534,5,4,4,4,3,7,7,1,0,0,0,1,1
